Temperature 10000
config,energy,magnetism
674,-1541,-76
675,-1693,-54
676,-1711,22
677,-1567,-68
678,-1495,-32
679,-1565,74
680,-1543,86
681,-1607,112
682,-1615,22
683,-1463,234
684,-1453,-4
685,-1797,180
686,-1541,-182
687,-1651,-144
688,-1633,-210
689,-1653,76
690,-1585,88
691,-1585,-130
692,-1507,-58
693,-1531,-74
694,-1675,16
695,-1443,206
696,-1515,-12
697,-1611,18
698,-1463,40
699,-1697,62
700,-1539,74
701,-1521,-28
702,-1609,4
703,-1573,-16
704,-1469,76
705,-1593,56
706,-1655,84
707,-1707,-30
708,-1597,12
709,-1615,40
710,-1497,24
711,-1603,108
712,-1635,-40
713,-1511,-46
714,-1721,76
715,-1555,38
716,-1681,-214
717,-1679,-66
718,-1675,170
719,-1479,-238
720,-1669,-56
721,-1563,78
722,-1629,-158
723,-1507,6
724,-1673,-272
725,-1715,-98
726,-1747,84
727,-1679,-102
728,-1627,-16
729,-1747,-168
730,-1559,-94
731,-1435,-104
732,-1599,-38
733,-1627,164
734,-1569,16
735,-1703,-10
736,-1659,86
737,-1531,32
738,-1763,-106
739,-1719,-14
740,-1581,56
741,-1641,-56
742,-1619,-2
743,-1499,-142
744,-1413,86
745,-1669,20
746,-1627,-36
747,-1545,-56
748,-1553,16
749,-1589,58
750,-1507,-192
751,-1519,30
752,-1367,58
753,-1555,-44
754,-1707,-224
755,-1581,-2
756,-1493,30
757,-1517,-30
758,-1825,-108
759,-1609,-76
760,-1433,-88
761,-1861,-232
762,-1585,-68
763,-1419,-62
764,-1587,118
765,-1463,86
766,-1493,-6
767,-1691,-158
768,-1659,90
769,-1737,80
770,-1513,-2
771,-1637,-4
772,-1619,-164
773,-1585,50
774,-1589,-200
775,-1651,-192
776,-1505,-4
777,-1585,-20
778,-1569,44
779,-1547,-28
780,-1633,114
781,-1707,62
782,-1601,58
783,-1575,172
784,-1715,60
785,-1529,106
786,-1651,72
787,-1513,300
788,-1743,-10
789,-1631,78
790,-1673,44
791,-1609,54
792,-1531,-8
793,-1657,-150
794,-1769,-4
795,-1787,-4
796,-1525,14
797,-1989,-68
798,-1639,-6
799,-1595,72
800,-1385,-96
801,-1689,252
802,-1661,168
803,-1601,-284
804,-1613,-60
805,-1637,-22
806,-1613,62
807,-1739,6
808,-1635,-74
809,-1739,18
810,-1775,-72
811,-1629,-150
812,-1877,54
813,-1775,164
814,-1567,214
815,-1669,-6
816,-1631,94
817,-1659,-170
818,-1463,-82
819,-1625,32
820,-1815,106
821,-1625,54
822,-1795,2
823,-1603,-46
824,-1669,54
825,-1703,116
826,-1523,-186
827,-1645,-18
828,-1613,-84
829,-1779,-70
830,-1511,-30
831,-1645,266
832,-1513,-6
833,-1503,-114
834,-1643,-76
835,-1521,200
836,-1571,298
837,-1553,-102
838,-1515,-64
839,-1581,12
840,-1631,188
841,-1625,-82
842,-1697,-66
843,-1567,44
844,-1625,-30
845,-1815,-10
846,-1657,-18
847,-1699,164
848,-1543,-54
849,-1531,44
850,-1701,-106
851,-1581,-82
852,-1703,-90
853,-1673,-26
854,-1803,-6
855,-1491,30
856,-1511,-22
857,-1833,44
858,-1725,-60
859,-1397,-8
860,-1577,74
861,-1635,128
862,-1613,-54
863,-1669,-22
864,-1657,-82
865,-1607,-34
866,-1683,-26
867,-1567,20
868,-1657,66
869,-1925,-86
870,-1641,-22
871,-1605,20
872,-1653,32
873,-1623,4
874,-1579,-8
875,-1401,210
876,-1495,72
877,-1547,98
878,-1595,-50
879,-1529,6
880,-1593,30
881,-1565,-60
882,-1529,112
883,-1549,-76
884,-1515,38
885,-1541,-224
886,-1635,-14
887,-1585,-220
888,-1637,-22
889,-1571,-22
890,-1695,-30
891,-1733,-104
892,-1729,-184
893,-1655,-102
894,-1507,-112
895,-1693,148
896,-1643,-180
897,-1737,294
898,-1725,24
899,-1617,70
900,-1725,-2
901,-1575,-48
902,-1519,38
903,-1625,188
904,-1609,-90
905,-1683,36
906,-1685,-60
907,-1645,-148
908,-1589,218
909,-1767,-90
910,-1445,14
911,-1603,-18
912,-1453,54
913,-1725,108
914,-1625,124
915,-1645,82
916,-1623,158
917,-1713,50
918,-1561,70
919,-1611,-196
920,-1537,-114
921,-1589,56
922,-1631,-200
923,-1509,102
924,-1799,8
925,-1701,128
926,-1627,-114
927,-1735,-36
928,-1683,-256
929,-1575,-34
930,-1491,258
931,-1517,44
932,-1667,-46
933,-1673,-54
934,-1721,116
935,-1639,102
936,-1639,-68
937,-1647,-106
938,-1655,184
939,-1563,-168
940,-1955,-64
941,-1691,116
942,-1779,38
943,-1611,-22
944,-1687,-102
945,-1595,-142
946,-1645,-98
947,-1493,80
948,-1605,174
949,-1685,28
950,-1633,-138
951,-1713,42
952,-1551,54
953,-1557,-300
954,-1483,-80
955,-1485,64
956,-1585,146
957,-1633,-58
958,-1569,-22
959,-1577,-44
960,-1541,-28
961,-1627,34
962,-1395,166
963,-1641,184
964,-1541,-46
965,-1507,-92
966,-1735,-48
967,-1691,-50
968,-1697,128
969,-1715,266
970,-1655,-234
971,-1629,-20
972,-1719,124
973,-1559,-18
974,-1649,140
975,-1699,182
976,-1649,-152
977,-1559,0
978,-1687,-130
979,-1627,224
980,-1713,-292
981,-1537,-28
982,-1807,-44
983,-1635,-124
984,-1647,-22
985,-1451,58
986,-1629,180
987,-1705,114
988,-1561,230
989,-1635,-46
990,-1817,112
991,-1791,-108
992,-1557,-156
993,-1475,-64
994,-1675,102
995,-1683,132
996,-1649,-44
997,-1457,-76
998,-1557,204
999,-1743,156
